datetime,label,direction,id,x,y,w,h,Color,ColorConf,Type,TypeConf
2019-06-14 02:01:29,line1,down,1798,442,199,36,29,White,0.24,Car,0.46
2019-06-14 02:01:29.100000,line1,up,1810,342,205,38,32,Black,0.65,Car,0.84
2019-06-14 02:01:29.300000,line1,down,1818,406,206,34,31,Blue,0.48,Car,0.45
2019-06-14 02:01:30.300000,line2,down,1622,661,344,172,142,Blue,0.47,SmallTruck,0.21
2019-06-14 02:01:30.400000,line1,down,1834,411,204,31,29,Blue,0.26,Car,0.54
2019-06-14 02:01:32.500000,line2,down,1798,719,422,69,60,White,0.55,Car,0.32
2019-06-14 02:01:33.600000,line2,down,1818,839,603,64,62,Gray,0.34,Van,0.3
2019-06-14 02:01:34.500000,line1,down,1854,441,199,38,27,Blue,0.38,Car,0.63
2019-06-14 02:01:34.800000,line1,down,1898,404,186,57,49,Blue,0.91,SmallTruck,0.46
2019-06-14 02:01:36.300000,line1,up,1934,301,194,53,49,Blue,0.66,SmallTruck,0.5
2019-06-14 02:01:36.400000,line2,up,1970,530,413,80,79,White,0.98,Van,0.77
2019-06-14 02:01:36.700000,line1,down,1946,406,199,34,33,Blue,0.31,Car,0.49
2019-06-14 02:01:37.200000,line2,up,1978,463,435,86,77,Black,0.94,SUV,0.68
2019-06-14 02:01:37.500000,line2,down,1898,629,371,115,123,Blue,0.63,SmallTruck,0.51
2019-06-14 02:01:37.700000,line2,up,2002,539,435,84,69,Black,0.8,SUV,0.58
2019-06-14 02:01:38.600000,line1,up,1966,302,183,44,63,White,0.9,BigTruck,0.24
2019-06-14 02:01:38.900000,line1,up,1970,348,198,41,40,White,0.68,SUV,0.4
2019-06-14 02:01:38.900000,line1,down,1958,414,204,32,30,White,0.35,Car,0.55
2019-06-14 02:01:39.700000,line2,down,2058,676,448,66,57,White,0.95,Van,0.43
2019-06-14 02:01:39.800000,line2,up,2054,538,437,76,63,White,0.55,Car,0.66
2019-06-14 02:01:39.900000,line2,up,2046,520,416,78,69,White,0.61,Car,0.68
2019-06-14 02:01:40.100000,line1,up,1978,317,213,33,32,Black,0.7,Car,0.51
2019-06-14 02:01:40.200000,line1,up,2002,357,206,35,33,Black,0.54,Car,0.53
2019-06-14 02:01:40.500000,line1,down,2030,411,206,31,29,Blue,0.5,Car,0.43
2019-06-14 02:01:40.600000,line2,up,2074,532,422,86,81,White,0.76,Car,0.39
2019-06-14 02:01:40.900000,line1,down,2022,437,204,38,22,Blue,0.44,Car,0.6
2019-06-14 02:01:41.100000,line2,up,2090,461,435,83,76,Yellow,0.42,SUV,0.7
2019-06-14 02:01:41.300000,line2,down,2098,647,424,77,68,White,0.99,SUV,0.69
2019-06-14 02:01:41.900000,line2,up,2102,534,433,86,71,White,0.97,Car,0.89
2019-06-14 02:01:42.200000,line1,up,2054,352,210,33,28,White,0.55,Car,0.64
2019-06-14 02:01:42.400000,line1,down,2082,412,208,30,26,Blue,0.52,Car,0.53
2019-06-14 02:01:42.800000,line2,down,2130,668,431,63,66,Blue,0.95,Car,0.4
2019-06-14 02:01:43.100000,line1,up,2074,351,204,36,36,White,0.68,SUV,0.36
2019-06-14 02:01:43.300000,line2,up,2134,465,440,74,65,White,0.75,Car,0.85
2019-06-14 02:01:43.900000,line1,up,2090,318,211,34,33,White,0.34,SUV,0.54
2019-06-14 02:01:44.100000,line2,up,2178,533,425,83,72,White,0.79,Car,0.69
2019-06-14 02:01:44.100000,line2,down,2022,722,433,72,53,Black,0.47,Car,0.71
2019-06-14 02:01:44.300000,line1,down,2162,415,204,32,31,Blue,0.3,Car,0.52
2019-06-14 02:01:44.500000,line1,up,2102,349,206,35,29,White,0.93,Car,0.72
2019-06-14 02:01:44.500000,line1,down,2094,448,181,38,45,Blue,0.98,Car,0.3
2019-06-14 02:01:45,line2,down,2198,668,440,70,63,Black,0.89,Car,0.67
2019-06-14 02:01:45,line2,up,2194,537,401,106,103,White,0.3,SmallTruck,0.61
2019-06-14 02:01:45.600000,line1,down,2174,410,206,31,27,Blue,0.28,Car,0.61
2019-06-14 02:01:45.900000,line2,up,2234,542,436,82,68,Black,0.98,Car,0.75
2019-06-14 02:01:45.900000,line1,up,2134,319,212,31,30,White,0.74,Car,0.63
2019-06-14 02:01:46.600000,line1,up,2178,352,206,37,32,White,0.65,Car,0.49
2019-06-14 02:01:46.600000,line1,down,2186,440,199,35,28,Gray,0.29,Car,0.59
2019-06-14 02:01:46.800000,line2,down,2290,673,419,67,71,White,0.91,Van,0.43
2019-06-14 02:01:47.700000,line1,up,2194,344,180,50,56,White,0.22,SmallTruck,0.5
2019-06-14 02:01:47.900000,line2,down,2298,656,337,161,147,White,0.98,SmallTruck,0.58
2019-06-14 02:01:48,line2,up,2302,437,311,216,186,White,0.6,SmallTruck,0.52
2019-06-14 02:01:48.100000,line1,down,2262,404,201,40,35,Blue,0.76,Car,0.48
2019-06-14 02:01:48.200000,line2,down,2338,648,434,79,61,Gray,0.4,Car,0.64
2019-06-14 02:01:48.400000,line1,up,2234,345,202,42,37,Black,0.5,Car,0.73
2019-06-14 02:01:48.500000,line2,down,2206,708,476,96,95,White,0.9,SmallTruck,0.46
2019-06-14 02:01:49.100000,line2,up,2362,528,434,84,71,White,0.51,Car,0.63
2019-06-14 02:01:49.500000,line1,down,2306,407,205,35,28,Gray,0.28,Car,0.6
2019-06-14 02:01:49.900000,line1,down,2278,447,201,29,27,Blue,0.29,Car,0.63
